ticker,sector
AAPL,Technology
ABT,Health Care
ACN,Consumer Discretionary
ADBE,Technology
ADP,Technology
AMAT,Technology
AMD,Technology
AMGN,Health Care
AMZN,Consumer Discretionary
ASML,Technology
AVGO,Technology
AZN,Health Care
BA,Industrials
BABA,Consumer Discretionary
BAC,Finance
BHP,Energy
BKNG,Consumer Discretionary
BSX,Health Care
BUD,Consumer Staples
C,Finance
CAT,Industrials
CB,Finance
CMCSA,Telecommunications
COP,Energy
COST,Consumer Discretionary
CRM,Technology
CSCO,Telecommunications
CVX,Energy
DE,Industrials
DHR,Industrials
DIS,Consumer Discretionary
FI,Consumer Discretionary
FMX,Consumer Staples
GE,Technology
GILD,Health Care
GOOG,Technology
GOOGL,Technology
GS,Finance
HD,Consumer Discretionary
HON,Industrials
IBM,Technology
IBN,Finance
INTU,Technology
ISRG,Health Care
JNJ,Health Care
JPM,Finance
KO,Consumer Staples
LIN,Industrials
LLY,Health Care
LMT,Industrials
LOW,Consumer Discretionary
MA,Consumer Discretionary
MCD,Consumer Discretionary
META,Technology
MMC,Finance
MRK,Health Care
MSFT,Technology
MUFG,Finance
NEE,Technology
NFLX,Consumer Discretionary
NOW,Technology
NVDA,Technology
NVO,Health Care
NVS,Health Care
ORCL,Technology
PANW,Technology
PDD,Consumer Discretionary
PEP,Consumer Staples
PFE,Health Care
PG,Consumer Discretionary
PGR,Finance
PLTR,Technology
PM,Health Care
QCOM,Technology
RTX,Industrials
RY,Finance
SAP,Technology
SCHW,Finance
SHEL,Energy
SMFG,Finance
SNY,Health Care
SONY,Consumer Staples
SPGI,Finance
SPOT,Consumer Discretionary
SYK,Health Care
T,Telecommunications
TBB,Telecommunications
TJX,Consumer Discretionary
TM,Consumer Discretionary
TMO,Industrials
TMUS,Telecommunications
TSLA,Consumer Discretionary
TSM,Technology
TTE,Energy
UBER,Consumer Discretionary
UL,Consumer Discretionary
UNH,Health Care
UNP,Industrials
V,Consumer Discretionary
VRTX,Health Care
WFC,Finance
WMT,Consumer Discretionary
XOM,Energy
