Stock,Allocation,ExpectedReturn
AAPL,0.9999794987315506,0.011828018468762467
GOOGL,2.971451200046203e-7,0.0036693257579931975
IBM,2.3530089672563371e-7,0.0016123898665324921
TM,2.2354764407095914e-7,0.0010982896187446195
PANW,2.231676745936904e-7,0.001080804473423749
MSFT,2.194860361955332e-7,0.0009083871529792545
V,2.1873957398205661e-7,0.0008727523286581898
CB,2.179314490829497e-7,0.0008339107122613787
GOOG,2.1766729980716227e-7,0.0008211548775738404
SCHW,2.1378644836636472e-7,0.0006302764082523111
SPGI,2.1356789650744803e-7,0.0006193298990612515
KO,2.114470436231706e-7,0.0005119814974258582
IBN,2.1140774081041933e-7,0.0005099727501050108
PEP,2.1089907072433051e-7,0.0004839103820036275
INTU,2.1043896311961081e-7,0.0004602325721636789
META,2.088958983116277e-7,0.0003800975154662846
TTE,2.0876319895600435e-7,0.0003731533303445333
JNJ,2.079506899584891e-7,0.000330450168688266
ORCL,2.0708958238708408e-7,0.00028484390000434694
SPOT,2.0705769606121542e-7,0.0002831481779326111
SHEL,2.0661536808009314e-7,0.00025957357838829963
TSLA,2.0570655727336952e-7,0.00021083361090895
LOW,2.0431406471271637e-7,0.00013535164065633088
DE,2.0406820745132838e-7,0.00012192261329461558
UNP,2.0336079730030338e-7,8.311036025808051e-5
BUD,2.0330686936331333e-7,8.014102863185966e-5
FI,2.0253799614420344e-7,3.764213000865544e-5
ABT,2.0241577354855775e-7,3.085802561710568e-5
open,2.0186160383148788e-7,0.0
high,2.0186160383148788e-7,0.0
low,2.0186160383148788e-7,0.0
close,2.0186160383148788e-7,0.0
volume,2.0186160383148788e-7,0.0
T,2.0135838727224155e-7,-2.816096586716701e-5
GILD,2.0107061728576017e-7,-4.432547772009353e-5
QCOM,2.0071489320613726e-7,-6.436810342343814e-5
C,2.0070092453651856e-7,-6.515652361192325e-5
CMCSA,2.0050650906750874e-7,-7.61405915707337e-5
LMT,2.002858676779936e-7,-8.863097389681391e-5
BKNG,1.9994080145615283e-7,-0.00010821761093399973
SYK,1.99722662752237e-7,-0.00012063284405521565
BAC,1.993965536450115e-7,-0.0001392413882832535
LLY,1.9925478131140295e-7,-0.0001473493358697453
PGR,1.9894604559696716e-7,-0.0001650439741536981
MUFG,1.9884743709251855e-7,-0.00017070656822335586
CVX,1.9875668397815412e-7,-0.00017592279377228636
ADP,1.9830430444118496e-7,-0.00020199205246992536
AMAT,1.982781367566854e-7,-0.00020350348140000702
MA,1.977244864047155e-7,-0.00023557123712162218
BSX,1.9702056254930976e-7,-0.0002765905960834437
NVDA,1.9625318169822408e-7,-0.00032162673815694154
HON,1.9611495567629178e-7,-0.0003297746066571213
ACN,1.9570466356508844e-7,-0.00035402416803241755
